,id,content,goal_id,metrics,Accuracy,Complexity,Execution time,LOC,Money,Number of bugs,Number of functions,Number of issues,Number of people,Number of reviews,Test coverage,Time
0,1,long development process take,Study a program development process,['Time'],0,0,0,0,0,0,0,0,0,0,0,1
1,2,many developer want,Study a program development process,['Number of people'],0,0,0,0,0,0,0,0,1,0,0,0
2,3,deadline,Study a program development process,['Time'],0,0,0,0,0,0,0,0,0,0,0,1
3,4,cost,Study a program development process,['Money'],0,0,0,0,1,0,0,0,0,0,0,0
4,5,effective code review find bug pass development stage,Identify if frequent code reviews help to discover more bugs,['Number of bugs'],0,0,0,0,0,1,0,0,0,0,0,0
5,6,effective code review prevention passing bug customer,Identify if frequent code reviews help to discover more bugs,['Number of bugs'],0,0,0,0,0,1,0,0,0,0,0,0
6,7,effective code review bug find compare absence code review,Identify if frequent code reviews help to discover more bugs,['Number of bugs'],0,0,0,0,0,1,0,0,0,0,0,0
7,8,improve quality code review,Decrease the amount of bugs in the code,"['Number of bugs', 'Number of people']",0,0,0,0,0,1,0,0,1,0,0,0
8,9,long code review last,Identify if frequent code reviews help to discover more bugs,['Time'],0,0,0,0,0,0,0,0,0,0,0,1
9,10,many people review code,Identify if frequent code reviews help to discover more bugs,['Number of people'],0,0,0,0,0,0,0,0,1,0,0,0
10,11,developer interaction project,Observing most engaging developers,"['Number of issues', 'Number of reviews']",0,0,0,0,0,0,0,1,0,1,0,0
11,12,quality work perform,Assess the productivity of software developers,['Number of bugs'],0,0,0,0,0,1,0,0,0,0,0,0
12,13,quality software,Estimate quality of a software,"['Number of bugs', 'Test coverage']",0,0,0,0,0,1,0,0,0,0,1,0
13,14,much budget need construct mvp,Create the library management application,['Money'],0,0,0,0,1,0,0,0,0,0,0,0
14,15,many people need get involve,Create the library management application,['Number of people'],0,0,0,0,0,0,0,0,1,0,0,0
15,16,much time take,Create the library management application,['Time'],0,0,0,0,0,0,0,0,0,0,0,1
16,17,number function lead cleaner code,Develop cleaner code,['Number of functions'],0,0,0,0,0,0,1,0,0,0,0,0
17,18,take break hour increase productivity,Increase the number of lines of code written in a month,['LOC'],0,0,0,1,0,0,0,0,0,0,0,0
18,19,work hour per day increase productivity developer,Increase the number of lines of code written in a month,['LOC'],0,0,0,1,0,0,0,0,0,0,0,0
19,20,kind neural network need use,Creating face detection and recognition computer vision application with an attendance check system,['Accuracy'],1,0,0,0,0,0,0,0,0,0,0,0
20,21,much time require,Creating face detection and recognition computer vision application with an attendance check system,['Execution time'],0,0,1,0,0,0,0,0,0,0,0,0
21,22,understand user story test,Analyze the code coverage of login feature,['Test coverage'],0,0,0,0,0,0,0,0,0,0,1,0
22,23,quality software test,Measure the technical quality of object-oriented software product in the company,"['LOC', 'Number of bugs']",0,0,0,1,0,1,0,0,0,0,0,0
23,24,complex software,Measure the technical quality of object-oriented software product in the company,['Complexity'],0,1,0,0,0,0,0,0,0,0,0,0
